airline_iata,airline_id,departure_airport_iata,departure_airport_id,arrival_airport_iata,arrival_airport_id,codeshare,number_stops,plane_types
2B,410,AER,2965,KZN,2990,,0,CR2
2B,410,CEK,2968,KZN,2990,,0,CR2
2B,410,CEK,2968,OVB,4078,,0,CR2
2B,410,DME,4029,KZN,2990,,0,CR2
2B,410,DME,4029,NBC,6969,,0,CR2
2B,410,DME,4029,TGK,\N,,0,CR2
2B,410,DME,4029,UUA,6160,,0,CR2
2B,410,EGO,6156,KGD,2952,,0,CR2
2B,410,EGO,6156,KZN,2990,,0,CR2
2B,410,KGD,2952,EGO,6156,,0,CR2
2B,410,KZN,2990,AER,2965,,0,CR2
2B,410,KZN,2990,CEK,2968,,0,CR2
2B,410,KZN,2990,DME,4029,,0,CR2
2B,410,KZN,2990,EGO,6156,,0,CR2
2B,410,KZN,2990,LED,2948,,0,CR2
2B,410,LED,2948,KZN,2990,,0,CR2
2B,410,LED,2948,NBC,6969,,0,CR2
2B,410,LED,2948,UUA,6160,,0,CR2
2B,410,NBC,6969,DME,4029,,0,CR2
2B,410,NBC,6969,LED,2948,,0,CR2
2B,410,OVB,4078,CEK,2968,,0,CR2
2B,410,TGK,\N,DME,4029,,0,CR2
2B,410,UUA,6160,DME,4029,,0,CR2
2B,410,UUA,6160,LED,2948,,0,CR2
2G,1654,CEK,2968,OVB,4078,,0,A81
2G,1654,HTA,2935,IKT,2937,,0,AN4
2G,1654,IKT,2937,HTA,2935,,0,AN4
2G,1654,IKT,2937,OVB,4078,,0,A81
2G,1654,OVB,4078,CEK,2968,,0,A81
2G,1654,OVB,4078,IKT,2937,,0,A81
2L,2750,BDS,1506,ZRH,1678,,0,100
2L,2750,BOD,1264,ZRH,1678,,0,100
2L,2750,BRS,490,ZRH,1678,,0,100
2L,2750,ZRH,1678,BDS,1506,,0,100
2L,2750,ZRH,1678,BOD,1264,,0,100
2L,2750,ZRH,1678,BRS,490,,0,100
2N,3652,AJR,730,LYC,719,,0,ATP
2N,3652,ARN,737,GEV,715,,0,ATP
2N,3652,ARN,737,HAD,709,,0,SF3
2N,3652,ARN,737,JKG,688,,0,ATP SF3
2N,3652,ARN,737,KRF,718,,0,ATP
2N,3652,ARN,737,KSD,5595,,0,SF3
2N,3652,ARN,737,LYC,719,,0,ATP
2N,3652,ARN,737,MHQ,442,,0,SF3
2N,3652,ARN,737,OER,722,,0,ATR
2N,3652,ARN,737,POR,448,,0,SF3
2N,3652,ARN,737,TRF,664,,0,SF3
2N,3652,ARN,737,VBY,746,,0,SF3 ATP
2N,3652,ARN,737,VHM,729,,0,SF3
2N,3652,ARN,737,VXO,711,,0,SF3
2N,3652,GEV,715,ARN,737,,0,ATP
2N,3652,GEV,715,KRF,718,,0,ATP
2N,3652,HAD,709,ARN,737,,0,SF3 ATP
2N,3652,HAD,709,JKG,688,,0,ATP SF3
2N,3652,HAD,709,VXO,711,,0,SF3
2N,3652,HMV,5599,VHM,729,,0,SF3
2N,3652,JKG,688,ARN,737,,0,ATP SF3
2N,3652,JKG,688,HAD,709,,0,ATP SF3
2N,3652,KOK,435,POR,448,,0,SF3
2N,3652,KRF,718,ARN,737,,0,ATP
2N,3652,KRF,718,GEV,715,,0,ATP
2N,3652,KSD,5595,ARN,737,,0,SF3
2N,3652,LYC,719,AJR,730,,0,ATP
2N,3652,LYC,719,ARN,737,,0,ATP
2N,3652,MHQ,442,ARN,737,,0,SF3
2N,3652,MHQ,442,TKU,460,,0,SF3
2N,3652,OER,722,ARN,737,,0,ATR
2N,3652,OSL,644,VXO,711,,0,SF3
2N,3652,POR,448,ARN,737,,0,SF3
2N,3652,POR,448,KOK,435,,0,SF3
2N,3652,TKU,460,MHQ,442,,0,SF3
2N,3652,TRF,664,ARN,737,,0,SF3
2N,3652,VBY,746,ARN,737,,0,SF3 ATP
2N,3652,VHM,729,ARN,737,,0,SF3
2N,3652,VHM,729,HMV,5599,,0,SF3
2N,3652,VXO,711,ARN,737,,0,SF3
2N,3652,VXO,711,OSL,644,,0,SF3
3L,2916,ACH,1679,EBA,1558,,0,DH3
3L,2916,DRS,338,ZRH,1678,,0,DH3
3L,2916,DUS,345,FDH,382,,0,DH3
3L,2916,EBA,1558,ACH,1679,,0,DH3
3L,2916,EBA,1558,FDH,382,,0,DH3
3L,2916,EBA,1558,MUC,346,,0,DH3
3L,2916,EBA,1558,ZRH,1678,,0,DH3
3L,2916,FDH,382,DUS,345,,0,DH3
3L,2916,FDH,382,EBA,1558,,0,DH3
3L,2916,FDH,382,HAM,342,,0,AT7
3L,2916,FDH,382,OLB,1520,,0,AT7
3L,2916,FDH,382,ZAD,1209,,0,AT7
3L,2916,FMM,3986,NAP,1561,,0,AT7
3L,2916,GRZ,1609,ZRH,1678,,0,DH3
3L,2916,HAM,342,FDH,382,,0,AT7
3L,2916,MUC,346,EBA,1558,,0,DH3
3L,2916,NAP,1561,FMM,3986,,0,AT7
3L,2916,OLB,1520,FDH,382,,0,AT7
3L,2916,SZG,1612,ZRH,1678,,0,DH3
3L,2916,ZAD,1209,FDH,382,,0,AT7
3L,2916,ZRH,1678,DRS,338,,0,DH3
3L,2916,ZRH,1678,EBA,1558,,0,DH3
3L,2916,ZRH,1678,GRZ,1609,,0,DH3
3L,2916,ZRH,1678,SZG,1612,,0,DH3
3R,3545,DME,4029,EGO,6156,,0,SU9
3R,3545,DME,4029,TIV,1743,,0,SU9 73G
3R,3545,EGO,6156,DME,4029,,0,SU9
3R,3545,TIV,1743,DME,4029,,0,SU9 73G
4G,2524,EYK,8428,VKO,2988,,0,YK2
4G,2524,UCT,4368,VKO,2988,,0,YK2
4G,2524,VKO,2988,EYK,8428,,0,YK2
4G,2524,VKO,2988,UCT,4368,,0,YK2
4T,1401,PRN,1742,ZRH,1678,,0,320
4T,1401,SKP,1737,ZRH,1678,,0,320
4T,1401,ZRH,1678,PRN,1742,,0,320
4T,1401,ZRH,1678,SKP,1737,,0,320
4U,2548,AGP,1230,STR,350,,0,320 319
4U,2548,AMS,580,HAM,342,,0,CRJ
4U,2548,AOI,4309,DUS,345,,0,CRJ
4U,2548,ARN,737,CGN,344,,0,CRJ
4U,2548,ARN,737,DUS,345,,0,CRJ
